"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","SA","0.00000","0.005550119797",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","RS","0.00000","0.002719964665",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","7","100","Song","PT","0.00000","0.013670577206",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","5","100","Song","PL","0.00000","0.005224187997",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","2","100","Song","PH","0.00000","0.001865118627",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","3","100","Song","PE","0.00000","0.004735870247",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","4","100","Song","NZ","0.00000","0.013614902023",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","2","100","Song","NO","0.00000","0.011420371897",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","3","100","Song","NL","0.00000","0.011812417976",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","MY","0.00000","0.000044076186",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","16","100","Song","MX","0.00000","0.029422014375",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","LT","0.00000","0.001901075516",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","JP","0.00000","0.004268430690",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","11","100","Song","IT","0.00000","0.029411575278",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","IL","0.00000","0.005627833073",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","1","100","Song","IE","0.00000","0.007083507127",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","9","100","Song","ID","0.00000","0.008426670915",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","8","100","Song","HU","0.00000","0.005928247081",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","9","100","Song","FR","0.00000","0.034802788825",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","6","100","Song","ES","0.00000","0.021296917367",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","17","100","Song","DE","0.00000","0.070266720447",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Exit","QZK6N2593531","199341681549","3","100","Song","CO","0.00000","0.003855506417",
